,Crops,State,Fertilizer used
0,"['urud', 'chickpea', 'gram', 'peas', 'pulses', 'arhar', 'paddy', 'wheat']",Andhra Pradesh,"['N, KCl, P2O5', 'Urea, P205', 'N, P2O5', 'N, P2O5, K20', 'Urea, P2O5, N', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
1,"['maize', 'wheat', 'rice', 'gram']",Arunachal Pradesh ,"['N, K20, P2O5', 'N, KCl, P2O5', 'Urea, N, P205, KCl', 'N, P2O5']"
2,"['urud', 'gram', 'maize', 'masur', 'wheat', 'rice', 'paddy']",Assam,"['N, KCl, P2O5', 'N, P2O5', 'N, K20, P2O5', 'Urea, N, P2O5', 'N, KCl, P2O5', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl']"
3,"['masur', 'pulses', 'paddy', 'wheat']",Bihar,"['Urea, N, P2O5', 'Urea, P2O5, N', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
4,"['pulses', 'arhar', 'paddy']",Chhattisgarh,"['Urea, P2O5, N', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl']"
5,"['rice', 'paddy', 'maize']",Goa,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, K20, P2O5']"
6,"['gram', 'maize', 'rice', 'wheat']",Gujarat,"['N, P2O5', 'N, K20, P2O5', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
7,"['chickpea', 'gram', 'peas', 'pulses', 'rice', 'paddy', 'wheat']",Haryana,"['Urea, P205', 'N, P2O5', 'N, P2O5, K20', 'Urea, P2O5, N', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
8,"['rice', 'paddy', 'wheat']",Himachal Pradesh,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
9,"['rice', 'paddy', 'wheat']",Jammu and Kashmir,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
10,"['rice', 'paddy', 'gram']",Jharkhand,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, P2O5']"
11,"['urud', 'chickpea', 'gram', 'maize', 'peas', 'redgram', 'rice', 'wheat']",Karnataka,"['N, KCl, P2O5', 'Urea, P205', 'N, P2O5', 'N, K20, P2O5', 'N, P2O5, K20', 'Urea, N, P2O5', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
12,"['urud', 'arhar', 'rice', 'paddy']",Kerala,"['N, KCl, P2O5', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl']"
13,"['urud', 'pea', 'gram', 'arhar']",Madhya Pradesh,"['N, KCl, P2O5', 'N, P2O5, K20', 'N, P2O5', 'Urea, N, P2O5, KCl']"
14,"['urud', 'chickpea', 'gram', 'greengram', 'maize', 'arhar', 'paddy', 'wheat']",Maharashtra,"['N, KCl, P2O5', 'Urea, P205', 'N, P2O5', 'N, P2O5', 'N, K20, P2O5', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
15,"['rice', 'paddy', 'wheat']",Manipur,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
16,"['rice', 'arhar', 'paddy']",Meghalaya,"['Urea, N, P205, KCl', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl']"
17,"['rice', 'paddy', 'wheat']",Mizoram,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
18,"['rice', 'arhar', 'paddy', 'wheat']",Nagaland,"['Urea, N, P205, KCl', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
19,"['urud', 'gram', 'rice', 'wheat', 'paddy']",Odisha,"['N, KCl, P2O5', 'N, P2O5', 'Urea, N, P205, KCl', 'N, KCl, P2O5', 'Urea, N, P205, KCl']"
20,"['gram', 'masur', 'peas', 'rice', 'paddy', 'peas', 'wheat']",Punjab,"['N, P2O5', 'Urea, N, P2O5', 'N, P2O5, K20', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, P2O5, K20', 'N, KCl, P2O5']"
21,"['gram', 'peas', 'pulses', 'arhar', 'rice', 'paddy', 'wheat']",Rajasthan,"['N, P2O5', 'N, P2O5, K20', 'Urea, P2O5, N', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
22,"['rice', 'paddy', 'wheat']",Sikkim,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
23,"['urud', 'gram', 'maize', 'rice', 'paddy']",Tamil Nadu,"['N, KCl, P2O5', 'N, P2O5', 'N, K20, P2O5', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl']"
24,"['rice', 'paddy', 'wheat']",Telangana,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
25,"['rice', 'paddy', 'wheat', 'arhar']",Tripura,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5', 'Urea, N, P2O5, KCl']"
26,"['urud', 'chickpea', 'gram', 'maize', 'masur', 'pulses', 'arhar', 'rice', 'paddy']",Uttar Pradesh,"['N, KCl, P2O5', 'Urea, P205', 'N, P2O5', 'N, K20, P2O5', 'Urea, N, P2O5', 'Urea, P2O5, N', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'Urea, N, P205, KCl']"
27,"['rice', 'paddy', 'wheat', 'peas']",Uttarakhand,"['Urea, N, P205, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5', 'N, P2O5, K20']"
28,"['urud', 'gram', 'masur', 'pulses', 'arhar', 'rice', 'wheat']",West Bengal,"['N, KCl, P2O5', 'N, P2O5', 'Urea, N, P2O5', 'Urea, P2O5, N', 'Urea, N, P2O5, KCl', 'Urea, N, P205, KCl', 'N, KCl, P2O5']"
